"Id","SalePrice"
1461,122644.450030347
1462,149063.281089594
1463,191489.584099236
1464,202617.80078215
1465,185005.775624237
1466,165037.789384717
1467,180473.601666498
1468,169452.871436948
1469,168209.585398654
1470,121306.703243624
1471,206120.638674306
1472,102677.197256209
1473,108312.065624771
1474,154981.815203614
1475,115145.33884523
1476,379506.816717213
1477,265534.539564972
1478,279474.462091018
1479,271267.564178574
1480,510672.325099918
1481,307705.554697643
1482,201124.717649942
1483,162517.234519174
1484,177642.768914608
1485,173420.60376961
1486,197709.17105757
1487,357895.278970293
1488,231430.905979926
1489,229239.908149055
1490,227840.469212375
1491,186661.130137449
1492,91919.7303376584
1493,175652.733230106
1494,290640.551630249
1495,267462.451301065
1496,229384.829862535
1497,170439.116914956
1498,165631.043211835
1499,159783.158433317
1500,144735.215329036
1501,183905.177956546
1502,139594.930875388
1503,254574.707303567
1504,247920.118165159
1505,219502.114918392
1506,173642.554001225
1507,246983.233297608
1508,197262.905792342
1509,160903.33721458
1510,159983.625339996
1511,147338.901106597
1512,165573.072814995
1513,133407.295322414
1514,178718.644133449
1515,204820.709986193
1516,160608.537217105
1517,159823.575110131
1518,127190.869643689
1519,230735.069114493
1520,142646.363310769
1521,140763.907909971
1522,176822.415146974
1523,113356.074304449
1524,124211.433909072
1525,119538.005851903
1526,107771.783709328
1527,106204.225753406
1528,134567.320845105
1529,148656.955159015
1530,168035.281263937
1531,108452.618757232
1532,100778.741863908
1533,148795.121748196
1534,124734.35663932
1535,152631.884381184
1536,114176.717963144
1537,74789.302314535
1538,197127.703529357
1539,201546.250771012
1540,84647.3371563932
1541,152819.981604528
1542,127254.517246816
1543,220790.097577058
1544,74688.9264359291
1545,106270.291385126
1546,133070.008687927
1547,139171.843903483
1548,128750.608579757
1549,103007.027371033
1550,151337.23397202
1551,127014.120311715
1552,151916.329404006
1553,172169.819751348
1554,107782.122562118
1555,168028.043848962
1556,100142.906310817
1557,102088.202837516
1558,86355.9625784886
1559,86536.6062117282
1560,133522.256688254
1561,133532.592580855
1562,111561.966491421
1563,117146.796787789
1564,153437.431846436
1565,134753.198545893
1566,239997.860175559
1567,69262.1752535713
1568,208845.03895286
1569,123161.898483354
1570,132195.763981624
1571,130828.992081524
1572,134881.297937667
1573,246946.400845316
1574,96276.1782930502
1575,205263.665221888
1576,222106.375915253
1577,206388.629032332
1578,134088.909019677
1579,160516.346547135
1580,185778.121245183
1581,167214.342017728
1582,131675.611054429
1583,338208.285465079
1584,226021.019548843
1585,143085.957266772
1586,64895.7406754812
1587,90178.5425316474
1588,152527.779043539
1589,91867.5538526254
1590,131307.916776964
1591,100528.906741709
1592,116817.403151321
1593,133371.349129711
1594,135189.261076664
1595,98844.1724778176
1596,215886.258512634
1597,180080.814455699
1598,196128.106128789
1599,148030.26319124
1600,152039.360573995
1601,52588.8562601772
1602,106177.971794372
1603,75518.9925158985
1604,256790.208426427
1605,242112.368575315
1606,176833.699179855
1607,143905.643075116
1608,197161.056402674
1609,207918.296881692
1610,160983.289236316
1611,138824.539219097
1612,154797.659613822
1613,169723.521453185
1614,106619.765795583
1615,85104.5803676206
1616,63894.211569712
1617,90582.482973657
1618,128371.374157815
1619,146800.90485245
1620,167138.090308555
1621,147082.083441936
1622,140265.664213227
1623,288072.008285726
1624,200309.840090755
1625,111392.908572378
1626,159979.226001435
1627,186434.341758592
1628,286924.562257356
1629,179045.844242031
1630,405430.497892984
1631,227935.348031706
1632,253353.276341965
1633,157627.095620738
1634,194908.299277863
1635,170375.033706704
1636,156870.259680886
1637,213007.800132936
1638,174533.48470433
1639,174576.691954894
1640,248504.481085957
1641,180914.557797635
1642,234139.866672124
1643,219593.318665366
1644,222760.165868689
1645,189759.852707512
1646,160481.183186604
1647,150636.409012723
1648,129297.530670571
1649,147630.173262894
1650,109111.385071091
1651,124269.721383287
1652,98523.4737290007
1653,102661.978851924
1654,147006.505987253
1655,142004.452020275
1656,148079.372709182
1657,149508.720065508
1658,140716.760513374
1659,119804.357311171
1660,158646.665260576
1661,492401.132000346
1662,409262.679174811
1663,336644.267854368
1664,466525.163726388
1665,338568.051327177
1666,305736.319801948
1667,360749.208999267
1668,322105.039665492
1669,305590.571414757
1670,348365.764463221
1671,267228.166946346
1672,528994.287291688
1673,305717.509332031
1674,270367.402507984
1675,177834.917066389
1676,193313.768249706
1677,227597.4445806
1678,457723.038247826
1679,385912.149504231
1680,329042.634844363
1681,237358.976358916
1682,268877.032726993
1683,163801.435549429
1684,163170.017087457
1685,172670.0322098
1686,163651.66385034
1687,166336.434524933
1688,192112.152856599
1689,200344.106552726
1690,178857.719561593
1691,165620.455227864
