"Id","SalePrice"
1461,106901.732631298
1462,139913.195385292
1463,167163.420867073
1464,192393.718674503
1465,193620.361070321
1466,171301.461975945
1467,185953.467150719
1468,171891.482461049
1469,192333.672256068
1470,118271.713978476
1471,189543.835559539
1472,97371.6477702326
1473,90359.4811544077
1474,136186.726856802
1475,112550.595092871
1476,327984.45835633
1477,239428.268822944
1478,257746.335230874
1479,261819.204984068
1480,440435.956764192
1481,309722.138598008
1482,212053.028167082
1483,166356.054743006
1484,159594.413000148
1485,206084.894525504
1486,202820.65695798
1487,300838.110974102
1488,224928.359743496
1489,188648.227894183
1490,225206.440569035
1491,196236.344718271
1492,84652.7437731345
1493,182874.338072166
1494,283985.120833037
1495,273211.58867666
1496,230995.733031124
1497,174430.494108454
1498,169758.477097115
1499,165519.268326303
1500,154997.219286059
1501,180183.096159735
1502,162124.651017382
1503,283113.985954254
1504,248077.329761819
1505,229085.979305023
1506,191261.492522753
1507,251170.070710589
1508,208047.803193579
1509,158065.253829344
1510,144544.290270607
1511,152528.759164611
1512,166846.234765247
1513,149902.808402627
1514,152588.825016173
1515,212579.198175112
1516,157297.815916653
1517,176199.416063206
1518,127502.184649693
1519,220371.478513854
1520,128460.907450679
1521,119972.660875248
1522,183298.848414175
1523,110136.483412954
1524,116020.449035341
1525,116580.057591605
1526,115772.462229125
1527,114915.020921177
1528,138466.88248212
1529,149877.69815918
1530,221878.923032233
1531,123640.045165665
1532,103115.302946098
1533,147683.07648917
1534,132633.565854304
1535,133297.499088121
1536,105379.385186156
1537,63335.7786490515
1538,152888.902606557
1539,195078.53981874
1540,93409.7179659774
1541,133499.448136617
1542,118101.208407694
1543,182828.875602419
1544,87496.4389489337
1545,113578.679418869
1546,137082.647545604
1547,122991.584657183
1548,124668.429812207
1549,114612.953112919
1550,126466.46438274
1551,109242.659031155
1552,135034.654579867
1553,136338.751800283
1554,121470.621427249
1555,154031.230678918
1556,109916.66726442
1557,97650.087176108
1558,111468.06716426
1559,57277.5602131489
1560,125562.265874291
1561,118384.241508613
1562,131526.159591114
1563,115722.144168544
1564,151244.579594205
1565,134315.295479448
1566,251736.51529873
1567,79740.6954252008
1568,243077.60661499
1569,118615.518505872
1570,144510.041985414
1571,121286.019749231
1572,132313.646568877
1573,208916.059021522
1574,114728.0861675
1575,214479.818407808
1576,248727.827321685
1577,180306.21865087
1578,147592.638641732
1579,134257.536669874
1580,198796.699023979
1581,160537.33027264
1582,129381.813649764
1583,307579.326364792
1584,224588.582128024
1585,142592.783635787
1586,73231.8522874132
1587,108384.49785503
1588,152281.412266748
1589,102451.331791722
1590,131962.098451877
1591,86880.8829386313
1592,115723.027405768
1593,139720.404084914
1594,120001.103942511
1595,103436.640357317
1596,199150.487810535
1597,171911.775628284
1598,209528.145516024
1599,169436.598251024
